"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218692_at",-1.89435928571429,7.19776461538462,-9.51598826572723,1.92978306507197e-07,0.00430013560389988,7.19078359126922
"217724_at",-1.72191904761905,8.95892384615385,-8.00103400777417,1.49739220270085e-06,0.00640548202365558,5.42861224121853
"207098_s_at",-1.95064976190476,5.48295153846154,-7.9031817626257,1.72476291980135e-06,0.00640548202365558,5.30382984735354
"216241_s_at",-1.92701428571429,8.33438307692308,-7.44075052840493,3.41831936028492e-06,0.00785589022003876,4.6948537214809
"201894_s_at",-1.81602642857143,7.71134538461538,-7.31006851634725,4.16768631968817e-06,0.00785589022003876,4.51687604039437
"220012_at",-2.53878690476191,7.24244076923077,-7.27450050651971,4.40037645374382e-06,0.00785589022003876,4.46797919308755
"202169_s_at",-1.97812547619048,6.19953615384615,-7.19602168378127,4.96367017711947e-06,0.00785589022003876,4.35939634428152
"208773_s_at",-1.66919428571429,6.28706692307692,-7.18982614348956,5.01126814588708e-06,0.00785589022003876,4.35078339895115
"201923_at",-1.9275030952381,9.16064461538462,-7.12551475841486,5.53477433034182e-06,0.00785589022003876,4.26102459316055
"207062_at",-3.54687071428572,10.0072684615385,-6.8566705759733,8.43453868698055e-06,0.00950005751056823,3.87875770795683
"200883_at",-2.38601095238095,5.96537846153846,-6.82656202729749,8.84733196976286e-06,0.00950005751056823,3.83523395369932
"211666_x_at",-1.75269476190476,10.2788353846154,-6.75893101509846,9.85410383626171e-06,0.00950005751056823,3.73694255834928
"208801_at",-1.56968380952381,8.43415769230769,-6.72815455773161,1.03515424445263e-05,0.00950005751056823,3.69197191977544
"217927_at",-1.80783523809524,8.99221307692308,-6.68427700998879,1.11069239236614e-05,0.00950005751056823,3.62759597582744
"206958_s_at",-2.13392166666667,5.07143307692308,-6.67405422107193,1.12911136625414e-05,0.00950005751056823,3.61255310142602
"208638_at",-2.16089119047619,8.95346846153846,-6.64656441978685,1.18025359792253e-05,0.00950005751056823,3.5720186710338
"204744_s_at",-1.83449928571429,8.44275230769231,-6.57183678686222,1.33198305262203e-05,0.00966784082782854,3.4612179385542
"209311_at",-1.50554238095238,7.04719,-6.54632494189213,1.38837188210974e-05,0.00966784082782854,3.42318536371476
"213465_s_at",-1.58507309523809,6.61564923076923,-6.5186105660802,1.45248392505722e-05,0.00980778766728787,3.38175064582322
"201963_at",-2.32291404761905,6.98285153846154,-6.48424919204995,1.53632272928764e-05,0.00997921981140494,3.33020656323991
"211985_s_at",-3.20472142857143,6.97342923076923,-6.47199483976011,1.56744017142742e-05,0.00997921981140494,3.31177830866055
