"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC08001474.hg.1",1.8404824,10.899022565,15.6862704933863,3.65515205827101e-11,2.57772288605446e-06,14.6185147202908
"JUC06021789.hg.1",-2.56421684166667,11.8533654766667,-13.9867207812163,2.0485200352105e-10,7.22338892215749e-06,13.2940108139359
"TC01001390.hg.1",2.38283045077778,10.7560969345333,11.8001086592127,2.49967591518881e-09,2.51835206524086e-05,11.2456409021235
"TC01001392.hg.1",2.38283045077778,10.7560969345333,11.8001086592127,2.49967591518881e-09,2.51835206524086e-05,11.2456409021235
"TC01001394.hg.1",2.38283045077778,10.7560969345333,11.8001086592127,2.49967591518881e-09,2.51835206524086e-05,11.2456409021235
"TC01001396.hg.1",2.38283045077778,10.7560969345333,11.8001086592127,2.49967591518881e-09,2.51835206524086e-05,11.2456409021235
"TC21000296.hg.1",2.38283045077778,10.7560969345333,11.8001086592127,2.49967591518881e-09,2.51835206524086e-05,11.2456409021235
"TC09001285.hg.1",1.54358768,11.0280423986667,11.4726595413614,3.75461171510036e-09,3.30983102480028e-05,10.8999501576801
"PSR03004157.hg.1",-2.5199919825,11.6703816536667,-11.278422167208,4.80039342728154e-09,3.76153495191307e-05,10.6895994096516
"TC07000779.hg.1",2.08066838555556,11.2700034336667,11.1236345173429,5.85274255990552e-09,4.12752963552217e-05,10.5190778278949
"TC01003443.hg.1",2.30334121111111,10.69298643,10.3993595625773,1.52399770164607e-08,6.32216999489327e-05,9.68571046572004
"TC02002447.hg.1",2.30334121111111,10.69298643,10.3993595625773,1.52399770164607e-08,6.32216999489327e-05,9.68571046572004
"TC06001433.hg.1",2.30334121111111,10.69298643,10.3993595625773,1.52399770164607e-08,6.32216999489327e-05,9.68571046572004
"TC16000585.hg.1",2.30334121111111,10.69298643,10.3993595625773,1.52399770164607e-08,6.32216999489327e-05,9.68571046572004
"TC16001243.hg.1",2.30334121111111,10.69298643,10.3993595625773,1.52399770164607e-08,6.32216999489327e-05,9.68571046572004
"TC17000130.hg.1",2.30334121111111,10.69298643,10.3993595625773,1.52399770164607e-08,6.32216999489327e-05,9.68571046572004
